VariableId,Name,CategoryName,Definition
14,Knowledge transfer,,The communication of knowledge from a source so that it is learned and applied by a recipient.
15,Absorptive capacity,,"The ability for a recipient to recognize the value of external information, assimilate it, and apply it."
16,Shared understanding,,"The extent to which a source and a recipient dyad's work values, norms, philosophy, problem-solving approaches, and prior work experience are similar."
17,Arduous relationship,,"An emotionally laborious, distant relationship between a source and a recipient."
18,Intrinsic motivation,,Deriving satisfaction that lies in the content of the activity itself.
19,Extrinsic motivation,,Deriving satisfaction that is independent of the content of the activity itself.
20,Communication encoding competence,,"The ability for a source to express ideas clearly, have a good command of the language, and be easy to understand."
21,Communication decoding competence,,"The ability for a recipient to listen, respond to messages quickly, and be attentive."
22,Source credibility,,"An attitude a recipient has about a source along multiple dimensions, including trustworthiness and expertise."
34,Reputation,,
38,Commitment,,A duty or obligation to engage in future action.
42,System integration,,"The ease with which data in different systems and organizational functions can be shared, the ability to update information to reflect changes in the downstream processes, and the visibility of customer orders throughout the organization."
43,Customer-side online information capabilities,,"The capability of providing product information, product customization, website personalization, service, and order management online."
44,Quality,Supplier-side online information capabilities,The capabilities of information exchange related to quality.
45,Resource availability,Supplier-side online information capabilities,The capabilities of information exchange related to resource availability.
46,Relationship management,Supplier- side online information capabilities,The capabilities of information exchange related to relationship management.
47,Supplier process alignment,,"The extent to which formal supplier selection policies, evaluation metrics, and monitoring processes are institutionalized."
48,Customer process alignment,,"How well the process facilitates customer interaction, complaint resolution, and the dissemination of customer feedback."
49,Customer readiness,,A firm's perception of the beliefs and motivation of customers toward net-enabled business.
50,Supplier readiness,,A firm's perception of the beliefs and motivation of suppliers toward net-enabled business.
61,Subjective mental workload,,"Instrument conceptualizes subjective mental workload as six dimensions: mental demand, physical demand, time constraints, performance, effort, and level of frustration."
72,Management Support,,Widespread sponsorship for a project across the management team.
73,Champion,,A person within the organization who actively supports and promotes the project.
74,Perceived usefulness,Performance expectancy,The degree to which a person believes that using a particular system would enhance his or her job performance.
75,Resources,,"The money, time, and people required to successfully implement a data warehouse."
76,User Participation,,When users are assigned project roles and tasks during implementation of the data warehouse.
